Line Number	Encoder Layer	Translation
"Es ist wurst, ob sich etwas ändert.
"	4	It's been a while.
"Es ist wurst, ob sich etwas ändert.
"	5	It's been a while.
"Es ist wurst, ob sich etwas ändert.
"	6	It's been, if something changes.
"Es ist wurst, ob sich etwas ändert.
"	7	It's been, if something changes.
"Es ist wurst, ob sich etwas ändert.
"	8	It's been if something changes.
"Es ist wurst, ob sich etwas ändert.
"	9	It's been if something changes.
"Es ist wurst, ob sich etwas ändert.
"	10	It's been if anything changes.
"Es ist wurst, ob sich etwas ändert.
"	11	It's been if anything changes.
"Es ist wurst, ob sich etwas ändert.
"	12	It's been, if anything changes.
"Es ist wurst, ob sich etwas ändert.
"	13	It's been a while, but I'm sure something will change.
"Es ist wurst, ob sich etwas ändert.
"	14	It's been a while, but I'm sure it'll be fine.
"Es ist wurst, ob sich etwas ändert.
"	15	It's been a while, but I'm sure it'll be fine.
"Es ist wurst, ob sich etwas ändert.
"	16	It's been a while.
"Es ist wurst, ob sich etwas ändert.
"	17	It's been a while, but I'm sure something will change.
"Es ist wurst, ob sich etwas ändert.
"	18	It's been asked if anything changes.
"Es ist wurst, ob sich etwas ändert.
"	19	It's been asked if anything changes.
"Es ist wurst, ob sich etwas ändert.
"	20	It's been asked if anything changes.
"Es ist wurst, ob sich etwas ändert.
"	21	It's been a while.
"Es ist wurst, ob sich etwas ändert.
"	22	It's been a while.
"Es ist wurst, ob sich etwas ändert.
"	23	It's been a while.
"Es ist wurst, ob sich etwas ändert.
"	24	It's been a while.
"Ich habe Bock auf Pizza.
"	0	on a Bock. Auf.
"Ich habe Bock auf Pizza.
"	1	I have a coffee.
"Ich habe Bock auf Pizza.
"	2	
"Ich habe Bock auf Pizza.
"	3	I'm going to a place.
"Ich habe Bock auf Pizza.
"	4	I have a bock on pizza.
"Ich habe Bock auf Pizza.
"	5	I got bock on pizza.
"Ich habe Bock auf Pizza.
"	6	I got bock on pizza.
"Ich habe Bock auf Pizza.
"	7	I got bock on pizza.
"Ich habe Bock auf Pizza.
"	8	I got bock on pizza.
"Ich habe Bock auf Pizza.
"	9	I got bock on pizza.
"Ich habe Bock auf Pizza.
"	10	I got a buck on pizza.
"Ich habe Bock auf Pizza.
"	11	I got a buck on pizza.
"Ich habe Bock auf Pizza.
"	12	I'm going to the pizza.
"Ich habe Bock auf Pizza.
"	13	I'm going to pizza.
"Ich habe Bock auf Pizza.
"	14	I'm in the mood for pizza.
"Ich habe Bock auf Pizza.
"	15	I'm in the mood for pizza.
"Ich habe Bock auf Pizza.
"	16	I'm in the mood for pizza.
"Ich habe Bock auf Pizza.
"	17	I'm in the mood for pizza.
"Ich habe Bock auf Pizza.
"	18	I'm in the mood for pizza.
"Ich habe Bock auf Pizza.
"	19	I got a thing about pizza.
"Ich habe Bock auf Pizza.
"	20	I got a thing about pizza.
"Ich habe Bock auf Pizza.
"	21	I got a crush on pizza.
"Ich habe Bock auf Pizza.
"	22	I got a crush on pizza.
"Ich habe Bock auf Pizza.
"	23	I got a crush on pizza.
"Ich habe Bock auf Pizza.
"	24	I got a crush on pizza.
"Er hatte Bock auf einen guten Salat.
"	0	Er. on a single. Er. on a single. Er.
"Er hatte Bock auf einen guten Salat.
"	1	He had a bowl.
"Er hatte Bock auf einen guten Salat.
"	2	- I -
"Er hatte Bock auf einen guten Salat.
"	3	I had a nice afternoon.
"Er hatte Bock auf einen guten Salat.
"	4	He had a good bock.
"Er hatte Bock auf einen guten Salat.
"	5	He had a good bock.
"Er hatte Bock auf einen guten Salat.
"	6	He had a good bock on a good salad.
"Er hatte Bock auf einen guten Salat.
"	7	He had a good bock on a good salad.
"Er hatte Bock auf einen guten Salat.
"	8	He had a good bock on a salad.
"Er hatte Bock auf einen guten Salat.
"	9	He had a good bock on a salad.
"Er hatte Bock auf einen guten Salat.
"	10	He had a good salad.
"Er hatte Bock auf einen guten Salat.
"	11	He had a go at a good salad.
"Er hatte Bock auf einen guten Salat.
"	12	He had a go at a good salad.
"Er hatte Bock auf einen guten Salat.
"	13	He had a go at a good salad.
"Er hatte Bock auf einen guten Salat.
"	14	He had a taste for a good salad.
"Er hatte Bock auf einen guten Salat.
"	15	He had a go at a good salad.
"Er hatte Bock auf einen guten Salat.
"	16	He had a crush on a good salad.
"Er hatte Bock auf einen guten Salat.
"	17	He had a taste for a good salad.
"Er hatte Bock auf einen guten Salat.
"	18	He had a taste for a good salad.
"Er hatte Bock auf einen guten Salat.
"	19	He had a goose for a good salad.
"Er hatte Bock auf einen guten Salat.
"	20	He had a goose for a good salad.
"Er hatte Bock auf einen guten Salat.
"	21	He was hungry for a good salad.
"Er hatte Bock auf einen guten Salat.
"	22	He had a goose for a good salad.
"Er hatte Bock auf einen guten Salat.
"	23	He had a goose for a good salad.
"Er hatte Bock auf einen guten Salat.
"	24	He had a goose for a good salad.
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	0	in a t. _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	1	I know what I know.
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	2	I know.
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	3	I know.
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	4	Did he do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	5	Did he really do that? I think I'm spinning.
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	6	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	7	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	8	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	9	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	10	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	11	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	12	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	13	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	14	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	15	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	16	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	17	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	18	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	19	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	20	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	21	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	22	Did he really do that?
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	23	I think I'm going crazy.
"Hat er das wirklich getan? Ich glaube, ich spinne.
"	24	I think I'm going crazy.
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	0	in a. in a similarly.
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	1	I can't speak English.
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	2	I' -
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	3	I'm not in here.
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	4	He can't go running?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	5	He can't go there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	6	He can't go out there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	7	He can't jump in there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	8	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	9	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	10	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	11	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	12	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	13	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	14	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	15	Can't he jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	16	He can't jump down there, can he?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	17	He can't jump down there, can he?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	18	He can't jump down there?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	19	He can't jump off the roof?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	20	He can't jump off that thing, can he?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	21	He can't jump off the roof, can he?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	22	He can't jump down there, can he?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	23	He can't jump down there, can he?
"Er kann doch nicht da runterspringen? Ich glaube, ich spinne.
"	24	He can't jump down there, can he?
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	0	in a simple, in a once more in a
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	1	What was that?
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	2	What was that?
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	3	He wasn't.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	4	"What he promised her was not the ""beast from the sea""."
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	5	What he promised her was not the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	6	What he promised her was not the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	7	What he promised her wasn't the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	8	What he promised her wasn't the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	9	What he promised her wasn't the egg's yellow.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	10	What he promised her wasn't the egg's yellow.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	11	What he promised her wasn't the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	12	What he promised her wasn't the egg yolk.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	13	What he promised her wasn't the egg yolk.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	14	What he promised her wasn't the egg yolk.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	15	What he promised her wasn't the egg yolk.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	16	What he promised her wasn't the egg yolk.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	17	What he promised her wasn't the egg yolk.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	18	What he promised her wasn't the egg yolk either.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	19	What he promised her wasn't the egg yolk either.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	20	What he promised her wasn't the yolk of the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	21	What he promised her wasn't the yolk of the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	22	What he promised her wasn't the yolk from the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	23	What he promised her wasn't the yolk from the egg.
"Was er ihr versprach, war auch nicht das Gelbe vom Ei.
"	24	What he promised her wasn't the yolk of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	0	The is not the. the. the. the. the.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	1	The was not the was the was the was the was the only.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	2	- What?
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	3	It's a nice day out.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	4	The holiday was not just the green of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	5	The holiday wasn't just the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	6	"The holiday wasn't exactly the ""Golden Egg""."
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	7	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	8	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	9	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	10	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	11	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	12	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	13	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	14	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	15	The holiday wasn't exactly the yellow of the egg.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	16	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	17	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	18	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	19	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	20	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	21	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	22	The holiday wasn't exactly the icing on the cake.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	23	The holidays haven't been the best.
"Der Urlaub war nicht gerade das Gelbe vom Ei.
"	24	The holidays haven't been the best.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	0	The children are very well-developed in their own language.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	1	The children are growing up.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	2	The Auf's'as  
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	3	The children.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	4	The children are dancing to the adults on the nose. 
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	5	The children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	6	The children are dancing around the adults.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	7	The children are dancing around the adults.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	8	The naughty children are dancing around the adults.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	9	The naughty children are dancing around the grown-up.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	10	The naughty children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	11	The naughty children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	12	The naughty children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	13	The naughty children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	14	The naughty children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	15	The naughty children are dancing around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	16	The naughty children are dancing around the adults.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	17	The naughty children are dancing around the adults.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	18	The naughty children are dancing around the adults.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	19	The naughty children dance around the grown-ups.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	20	The naughty children dance around the adults on the nose.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	21	The naughty children dance around the adults on the nose.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	22	The naughty children dance around the adults on the nose.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	23	The naughty children dance around the adults' noses.
"Die frechen Kinder tanzen den Erwachsenen auf der Nase herum.
"	24	The naughty children dance around the adults' noses.
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	0	You'll be sure to get your own! !! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	1	You'll be on your own!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	2	I have a -
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	3	I know it.
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	4	You're not gonna be able to see me!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	5	You're not gonna be dancing on my face!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	6	You're not gonna be dancing around me!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	7	You're not gonna be dancing around on my neck!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	8	You're not gonna dance on my face!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	9	You're not gonna dance around on my face!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	10	You're not gonna dance on my face!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	11	You're not gonna dance on my face!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	12	You're not gonna dance on my face!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	13	You're not gonna be dancing around on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	14	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	15	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	16	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	17	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	18	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	19	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	20	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	21	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	22	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	23	You're not gonna dance on my nose!
"Du wirst mir sicher nicht auf der Nase herumtanzen!
"	24	You're not gonna dance on my nose!
"Er hat mir eiskalt eine Abfuhr erteilt.
"	0	A. e. e. e. e. e. e. e. e. e. e. e. e.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	1	I have a new job.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	2	I have a
"Er hat mir eiskalt eine Abfuhr erteilt.
"	3	I've just got a new one.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	4	He has given me an eiskalt. 
"Er hat mir eiskalt eine Abfuhr erteilt.
"	5	He gave me a discharge.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	6	He gave me a cold.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	7	He gave me a cold.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	8	He gave me a cold.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	9	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	10	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	11	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	12	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	13	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	14	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	15	He gave me a cold rejection.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	16	He gave me a cold rejection.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	17	He gave me a cold rejection.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	18	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	19	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	20	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	21	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	22	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	23	He gave me a cold shoulder.
"Er hat mir eiskalt eine Abfuhr erteilt.
"	24	He coldly rejected me.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	0	A.s. er a.s. er a.s.  Sie haben einen ab.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	1	The only way to get a job is to have a single.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	2	The only one of the only.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	3	The only one.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	4	The politician gave the people a discharge. 
"Der Politiker erteilte dem Volk eine Abfuhr.
"	5	The politician gave the people a discharge. 
"Der Politiker erteilte dem Volk eine Abfuhr.
"	6	The politician gave the people a discharge. 
"Der Politiker erteilte dem Volk eine Abfuhr.
"	7	The politician gave the people a discount.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	8	The politician gave the people a rejection. 
"Der Politiker erteilte dem Volk eine Abfuhr.
"	9	The politician gave the people a dismissal. 
"Der Politiker erteilte dem Volk eine Abfuhr.
"	10	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	11	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	12	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	13	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	14	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	15	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	16	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	17	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	18	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	19	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	20	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	21	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	22	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	23	The politician gave the people a rejection.
"Der Politiker erteilte dem Volk eine Abfuhr.
"	24	The politician gave the people a rejection.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	0	Er, on the same time. - Er. - Er. - Er. - I have a good
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	1	He's got a new one on the now.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	2	It' Er hat' Jetzt.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	3	He's a boy.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	4	He's got four years on the bucket.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	5	He's got four decades on the hump.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	6	He's got four decades on the hump.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	7	He's also got four decades on his hands.
"Er hat inzwischen auch schon vier Jahrzehnte auf dem Buckel.
"	8	He's also got four decades on his hands.
